c1,c2,c3,c4
350104103220,横龙村,5,350104103000
350104103221,建平村,5,350104103000
350104103222,霞镜村,5,350104103000
350104103223,半道村,5,350104103000
350104103224,港头村,5,350104103000
350104104000,螺洲镇,4,350104000000
350104104001,螺洲,5,350104104000
350104104002,排下社区,5,350104104000
350104104201,天福村,5,350104104000
350104104202,乾元村,5,350104104000
350104104203,敖山村,5,350104104000
350104104204,店前村,5,350104104000
350104104205,吴厝村,5,350104104000
350104104206,洲尾村,5,350104104000
350104104207,杜园村,5,350104104000
350104400000,红星农场,4,350104000000
350104400598,红星农场虚拟生活区,5,350104400000
350105000000,马尾区,3,350100000000
350105001000,罗星街道,4,350105000000
350105001001,沿山社区,5,350105001000
350105001002,马限社区,5,350105001000
350105001003,罗星社区,5,350105001000
350105001004,新港社区,5,350105001000
350105001005,培英社区,5,350105001000
350105001201,上岐村,5,350105001000
350105001202,青洲村,5,350105001000
350105001203,君竹村,5,350105001000
350105001204,双峰村,5,350105001000
350105001205,罗星村,5,350105001000
350105100000,马尾镇,4,350105000000
350105100001,旺岐社区,5,350105100000
350105100003,船政社区,5,350105100000
350105100004,凯隆社区,5,350105100000
350105100005,滨东社区,5,350105100000
350105100006,滨西社区,5,350105100000
350105100201,六江村,5,350105100000
350105100202,中洲村,5,350105100000
350105100203,上德村,5,350105100000
350105100204,新马村,5,350105100000
350105100205,朏头村,5,350105100000
350105100206,下德村,5,350105100000
350105100207,儒江村,5,350105100000
350105100208,快安村,5,350105100000
350105100209,魁岐村,5,350105100000
350105100210,快洲村,5,350105100000
350105100211,建坂村,5,350105100000
350105100212,龙门村,5,350105100000
350105100213,双协村,5,350105100000
350105101000,亭江镇,4,350105000000
350105101001,亭头社区,5,350105101000
350105101002,闽安社区,5,350105101000
350105101003,闽亭社区,5,350105101000
350105101201,敖溪村,5,350105101000
350105101202,盛美村,5,350105101000
350105101203,东盛村,5,350105101000
350105101204,笏山村,5,350105101000
350105101205,前洋村,5,350105101000
350105101206,康坂村,5,350105101000
350105101207,白眉村,5,350105101000
350105101208,象洋村,5,350105101000
350105101209,英屿村,5,350105101000
350105101210,东岐村,5,350105101000
350105101211,长柄村,5,350105101000
350105101212,洪塘村,5,350105101000
350105101213,亭头村,5,350105101000
350105101214,闽安村,5,350105101000
350105101215,西边村,5,350105101000
350105101216,长安村,5,350105101000
